Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Cordinate,Lat,Long,Maps
1,Bali Swing,"Bali swing di desa Bongkasa adalah sebuah rekreasi atau wisata petualangan baru yang ada di Bali. Swing atau ayunan ini cukup diminati bagi mereka yang ingin merasakan sebuah tantangan dan uji nyali. Memang menikmati berbagai tantangan termasuk juga pesona alam indah pulau Dewata Bali, tentunya sudah sering dimanjakan dengan keindahan alam pantai termasuk juga sejuknya alam pegunungan, danau dan juga air terjun yang ada di pulau ini.",Alam,Badung,98000,4.5,,"{'lat': -8.4905859, 'lng': 115.2398071}",-8.4905859,115.2398071,"https://www.google.com/maps/place/Bali+Swing/@-8.4905806,115.2376184,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd23d2bb78f98e5:0xdc87cb5e74348952!8m2!3d-8.4905859!4d115.2398071"
2,Pantai Kelingking,Kelingking Beach adalah salah satu spot Nusa Penida yang paling terkenal. Situs perjalanan besar menggunakan fotonya untuk mengiklankan Bali dan bahkan terkadang Indonesia. Tempatnya memang sangat spektakuler dan sungguh menakjubkan. Batuan Pantai Kelingking terlihat seperti tulang punggung dinosaurus yang akan minum di laut.,Alam,Klungkung,5000,4.9,,"{'lat': -8.7503812, 'lng': 115.4704331}",-8.7503812,115.4704331,"https://www.google.com/maps/place/Kelingking+Beach+Nusa+Penida/@-8.7503812,115.4704331,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd26f1616cd2cc7:0xee84b7df0afbff19!8m2!3d-8.7503865!4d115.4726218"
3,Sawah Terasering Tegallalang,"Tegalalang Rice Terrace, objek wisata ini merupakan areal persawahan yang menawarkan pemandangan yang unik dan asri. Berbeda dari areal persawahan di kota-kota lainnya, areal persawahan ini didesain secara berundak (terassering), sehingga menciptakan teras-teras hijau yang memesona.",Alam,Gianyar,10000,4.4,,"{'lat': -8.4340403, 'lng': 115.2792569}",-8.4340403,115.2792569,"https://www.google.com/maps/place/Tegallalang+Rice+Terrace/@-8.4340403,115.2792569,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2220b23f900e3:0x8d1a8969386c04ed!8m2!3d-8.4340403!4d115.2792569!16s%2Fm%2F0kcf42x?authuser=0&hl=en"
4,Air Terjun Tegenungan,"Air Terjun Tegenungan adalah air terjun di Bali , Indonesia . Terletak di desa Tegenungan Kemenuh, di Kabupaten Gianyar , utara dari ibukota Denpasar dan dekat dengan desa seni Bali Ubud . Air terjun ini terisolasi tetapi telah menjadi objek wisata yang populer.",Alam,Gianyar,20000,4.3,,"{'lat': -8.5753078, 'lng': 115.2713102}",-8.5753078,115.2713102,"https://www.google.com/maps/place/Tegenungan+Waterfall/@-8.5753078,115.2713102,14z/data=!3m1!4b1!4m5!3m4!1s0x2dd2161beebd0c61:0xc1ae79ddb8410c5e!8m2!3d-8.575327!4d115.2887716?authuser=0&hl=en"
5,Istana Ubud,"Ubud Palace adalah sebuah kompleks bangunan bersejarah yang terletak di Ubud , Kabupaten Gianyar Bali , Indonesia. Istana ini merupakan kediaman resmi keluarga kerajaan Ubud. Dalam perjalanannya itulah Rsi Markandya menerima wahyu ilahi bahwa di Bali ia akan mengubur lima logam mulia di lereng gunung tempat candi induk Besakih sekarang berdiri saat ini. Bersama sekelompok pengikutnya, Rsi Markandya secara magnetis tertarik ke sebuah destinasi yang terletak di kaki bukit tengah pulau yang memancarkan cahaya dan energi. Tempat ini adalah Campuhan di Ubud di sebuah persimpangan di Sungai Wos dan di sinilah ia merasa terdorong untuk membangun sebuah pura dengan nama Pura Gunung Lebah.",Budaya,Gianyar,100000,4.2,,"{'lat': -8.5067194, 'lng': 115.2627222}",-8.5067194,115.2627222,https://www.google.com/maps/place/Ubud+Palace/data=!4m6!3m5!1s0x2dd23d6af37eb24b:0x4bcdf69a281c3f32!8m2!3d-8.5067194!4d115.2627222!16s%2Fm%2F012nzpgj?authuser=0&hl=en&rclk=1
6,Sawah Terasering Jatiluwih,"Sawah Terasering Jatiluwih  adalah salah satu objek wisata di Bali yang selalu banyak dikunjungi wisatawan setiap harinya.  Objek wisata ini berada di Desa Jatiluwih, menawarkan pemandangan menakjubkan dari sawah irigasi berkontur dengan menggunakan sistem air komunal yang dikembangkan oleh petani Bali.",Alam,Tabanan,15000,4.7,,"{'lat': -8.37031, 'lng': 115.131372}",-8.37031,115.131372,https://www.google.com/maps/place/Jatiluwih+Rice+Terrace/data=!4m6!3m5!1s0x2dd227ab020cd7fb:0x2f0f875ff3e6839a!8m2!3d-8.37031!4d115.131372!16s%2Fg%2F11b6dfvgqz?authuser=0&hl=en&rclk=1
7,Tanah Lot,"Tanah Lot adalah adalah formasi batuan di pulau Bali, Indonesia . Ini adalah rumah bagi kuil ziarah Hindu kuno Pura Tanah Lot (secara harfiah ""pura Tanah Lot""), ikon wisata dan budaya yang populer untuk fotografi.",Alam,Tabanan,20000,4.6,,"{'lat': -8.6212118, 'lng': 115.0868032}",-8.6212118,115.0868032,https://www.google.com/maps/place/Tanah+Lot/data=!4m6!3m5!1s0x2dd237824f71deab:0xcaabe270f7e34d69!8m2!3d-8.621213!4d115.086807!16zL20vMGJ2NGRo?authuser=0&hl=en&rclk=1
8,Tirta Gangga,"Tirta Gangga adalah bekas istana kerajaan di Bali timur , Indonesia , sekitar 5 kilometer dari Karangasem , dekat Abang . Dinamakan setelah sungai suci Gangga dalam agama Hindu, tempat ini terkenal dengan istana air kerajaan Karangasem, kolam pemandian, dan kuil Patirthan.",Budaya,Karangasem,25000,4.6,,"{'lat': -8.4123473, 'lng': 115.5872919}",-8.4123473,115.5872919,"https://www.google.com/maps/place/Tirta+Gangga/@-8.4123473,115.5872919,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24736f4379ad1:0x65af03b0d108a7d1!8m2!3d-8.4123473!4d115.5872919!16s%2Fm%2F09rv951?authuser=0&hl=en"
9,Monkey Forest Ubud,"Monkey Forest Ubud adalah suaka dan habitat alami kera ekor panjang Bali. Terletak di Padangtegal Ubud, Bali. Sekitar 1049 monyet tinggal di cagar alam ini. Mereka dibagi menjadi 6 kelompok, yaitu kelompok depan candi utama, kelompok konservasi hutan, kelompok titik tengah, kelompok timur, kelompok Michelin, dan kelompok kuburan.",Alam,Gianyar,40000,4.5,,"{'lat': -8.5193299, 'lng': 115.2431631}",-8.5193299,115.2431631,"https://www.google.com/maps/place/Sacred+Monkey+Forest+Sanctuary/@-8.5193299,115.2431631,14z/data=!4m5!3m4!1s0x2dd23d43f6189b67:0xb6ec43164befc356!8m2!3d-8.5193727!4d115.2606299?authuser=0&hl=en"
10,Kebun Raya Bali,"Kebun Raya Bali merupakan tempat yang unik di pulau Bali yang memadukan penelitian botani, pelestarian tumbuhan, pendidikan dan rekreasi. Disini anda dapat bersantai sambil menikmati keindahan dan kedamaian sambil mempelajari manfaat tumbuhan bagi kehidupan masyarakat. Di kebun raya pun anda dapat melihat tumbuhan hutan hujan tropik dan kehidupan burungnya.",Alam,Tabanan,20000,4.5,,"{'lat': -8.2814516, 'lng': 115.1542491}",-8.2814516,115.1542491,"https://www.google.com/maps/place/Kebun+Raya+Bali/@-8.2814516,115.1542491,17z/data=!4m8!3m7!1s0x2dd1891a19b70141:0x76a13fb929f56026!8m2!3d-8.2814516!4d115.1564378!9m1!1b1!16s%2Fm%2F0ll4kxl?authuser=0&hl=en"
